10.6322   51.0  11.1  6.0  1.4 
10.6533   7.2   3.3   1.4  0.2 
10.6810   19.2  9.3   4.1  0.7
10.7009   16.1  6.0   0.7  0.4 
10.7313   27.0  10.1  1.4  1.0
10.7463   19.0  2.9   1.0  0.4  
10.7712   9.7   7.6   2.2  0.5
10.8045   21.0  4.1   0.5  0.5
10.8295   18.6  7.0   0.7  0.8 
10.8489   19.6  8.7   2.3  0.9 
10.8574   17.8  8.8   1.2  0.8 
10.8642   32.2  1.4   0.0  1.4 
10.8658   32.7  1.9   0.0  1.4 
10.8676   31.3  1.5   0.0  1.3 
10.8778   33.7  10.1  1.7  1.5 
10.8828   33.9  7.5   0.4  1.5 
10.8889   43.8  10.5  0.7  2.0 
10.8983   32.2  6.3   0.5  1.4 
10.9073   28.8  9.1   2.0  1.4 
10.9287   10.5  6.9   0.9  0.6 
10.9575   -2.8  6.0   0.1  0.3 
10.9753   8.5   7.2   1.2  0.6 
10.9904   10.5  8.1   0.4  0.7 
11.0039   9.7   7.0   0.3  0.6 
11.0148   34.8  11.4  1.2  1.9 
11.0185   27.8  10.5  1.0  1.5 
11.0208   31.5  9.9   1.2  1.7 
